name	type	sub_type	entry	summary
	publication			Pierre Pica 1985 "Sujet, temps et contenu propositionnel : Pour une conception modulaire des phénomènes de liage"
	publication			Alexandra D’Arcy 2015 Quotation and Advances in Understanding Syntactic Systems
Harves2002	publication			Stephanie Harves  Genitive of negation and the syntax of scope
GisigerBoukadoum2011	publication			W.W. Lytton  Computational Neuroscience
Nakatani2007	publication			Kentaro Nakatani 2007 Bunshori sutoratejī toiu kanten kara mita kekkakōbun no ruikeiron [Typology of resultative constructions seen from the sentence processing strategy
RappaportWWilkins	publication			M. Rappaport and B.Levin W. Wilkins  Thematic Roles, Syntax and Semantics21, AcademicPress
	publication			Deniz Özyıldız  Overt Quantifier Raising derives factivity and its prosody
	publication			X. Kam & Iglika Stoyneshka & Lidiya Tornyova & Janet D. Fodor & W. G. Sakas  Please Scroll down for Article Cognitive Science: a Multidisciplinary Journal Bigrams and the Richness of the Stimulus Bigrams and the Richness of the Stimulus
	publication			Elise McClay & Megan Keough & Molly Babel & Lisa Matthewson  Prosodic realization and interpretation of English imperatives
Hartmann1998	publication			Hartmann, Katharina 1998 Right Node Raising and gapping
Simons1998	publication			Simons, Mandy 1998 Or – Issues in the Semantics and Pragmatics of Disjunction
Miyashita2013	publication			Miyashita, Harumasa 2013 Historical Change in the Formal Licensing Conditions of Personal Pronominal Objects in English: A View from Intra-Syntactically Driven Language Change
Bernstein1993	publication			Bernstein, Judy 1993 The syntactic role of word markers in null nominal constructions,Probus
Arad2003	publication			Maya Arad 2003 Locality Constraints on the Interpretation of Roots: The Case of Hebrew Denominal VERBS
Audi1986	publication			R. Audi 1986 Belief, Reason, and Inference
Chaves2008	publication			R. Chaves 2008 Linearization-based word-part ellipsis
Dahl1973	publication			Östen Dahl 1973 On so-called ‘sloppy identity’
Fukui1986/1995	publication			Naoki Fukul 1990 A Theory of category projection and its applications
Hara2007	publication			Yurie Hara 2006 Dake-wa : Exhaustifying Assertions
HornsteinNunes2002	publication			N. Hornstein & Jairo Nunes 2002 On Asymmetries Between Parasitic Gap and Across‐the‐board Constructions
Huang1993	publication			C. Huang 1993 Reconstruction and the structure of VP: some theoretical consequences
Jacobson2019	publication			Pauline Jacobson 2018 Ellipsis in Categorial Grammar
Koizumi1994	publication			Masatoshi Koizumi 1994 Secondary predicates
McCready2012	publication			E. McCready 2012 Formal Approaches to Particle Meaning
Montague1970	publication			R. Montague 1970 Pragmatics and intensional logic
ClarkCurran2007	publication			S. Clark & J. Curran 2007 Wide-Coverage Efficient Statistical Parsing with CCG and Log-Linear Models
Shimoyama1999	publication			J. Shimoyama 1999 Internally Headed Relative Clauses in Japanese and E-Type Anaphora
Stalnaker1975	publication			Robert Stalnaker 2020 Indicative conditionals
Stokke2013	publication			Andreas Stokke 2013 Protagonist Projection: Protagonist Projection
Takano2010	publication			Yuji Takano 2010 Scrambling and Control
WarrenGibson2002	publication			Tessa C. Warren & E. Gibson 2002 The influence of referential processing on sentence complexity
WilliamsonSimons1992	publication			T. Williamson & P. Simons 1992 Vagueness and Ignorance
Wiltschko1998	publication			Martina Wiltschko 1998 On the Syntax and Semantics of (Relative) Pronouns and Determiners
Solt2015	publication			S. Solt 2015 Q-Adjectives and the Semantics of Quantity
Gianakidou2007	publication			A. Giannakidou 2007 The landscape of EVEN
CulicoverWinkler2008	publication			PETER W. CULICOVER & SUSANNE WINKLER 2008 English focus inversion
Groß2013	publication			Groß, Thomas and Osborne, Timothy 2013 Katena und Konstruktion: Ein Vorschlag zueiner dependen-ziellen Konstruktionsgrammatik
Mikami2013	publication			Suguru Mikami 2013 The prepositional subject construction in English and the formulation of subjects in terms of aboutness
Saito2021b	publication			Hiroaki Saito 2021 Grammatizalization as decategorization
Sciullio1986	publication			Sciullio and Maria, Anna and Muysken, Pieter and Singh, Rajendra 1986 Government andcodeswitching
Vries2005	publication			Mark de Vries 2005 Ellipsis in nevenschikking: Voorwaarts deleren maar achterwaartsdelen
Yukimatsu2016	publication			Hanae Yukimatsu 2016 Hakken-no noda”-nitsuite ['Noda' as sentences of discovery
Sawada2023b	publication			Sawada Osamu 2023 The role of comparison in discourse: The meaning and use of the Japanese utterance comparative expressions sore-yori-(mo) ‘than that’ and nani-yori-(mo) ‘than anything’
LasersohnMcCready2005	publication			Peter Lasersohn and Eric Scott McCready 2005 Context dependence, disagreement, and predicates of personal taste
Imoto2011	publication			Ryo Imoto 2011 Futsuuni kawaii”-koo [On degree modification of futsuu-ni ‘ordinary’
BoerBartRavignaniBoeckx2020	publication			 Boer and Bill Thompson Bart and Andrea Ravignani and Cedric Boeckx 2020 Evolutionary dy namics do not motivate a single-mutant theory of human language
	publication			H. Herzberger 1973 Dimensions of truth
	publication			Pieter A. M. Seuren 1990 [Review of the book The limits to debate: A revised theory of presupposition by N. Burton-Roberts]
	publication			Sandra Stjepanovi 2008 P-Stranding Under Sluicing in a Non-P-Stranding Language?
	publication			Yimei Xiang 2017 ONLY: An NPI-licenser and NPI-unlicenser
	publication			E. Ifantidou-trouki 1993 Sentential adverbs and relevance
	publication			M. Dikken 2002 Direct and parasitic polarity item licensing
	publication			S. Iatridou & I. Sichel 2011 Negative DPs, A-Movement, and Scope Diminishment
	publication			S. Imamura & Yohei Sato & Masatoshi Koizumi 2016 The Processing Cost of Scrambling and Topicalization in Japanese
	publication			J. Tellings 2019 When-questions and tense in Inquisitive Semantics
	publication			Ewan Klein 1982 The interpretation of adjectival comparatives
	publication			Robert Stalnaker 1975 Indicative conditionals
	publication			D. Lewis 1976 Probabilities of Conditionals and Conditional Probabilities
	publication			I. Douven 2007 The evidential support theory of conditionals
	publication			Colin Brown 2024 Questions and their Relatives in Sm’algyax
	publication			Michelle Sheehan & Sonia Cyrino 2022 Restrictions on Long Passives in English and Brazilian Portuguese: A Phase-Based Account
	publication			P. Wolff 2007 Representing causation.
	publication			Vicki Carstens 2003 Rethinking Complementizer Agreement: Agree with a Case-Checked Goal
	publication			G. Müller & W. Sternefeld 1993 Improper movement and unambiguous binding
	publication			Y. Sharvit 1999 Connectivity in Specificational Sentences
	publication			Y. Li & Ting-Chi Wei 2017 Sluicing, Sprouting and Missing Objects
	publication			Emmon Bach & J. Bresnan & T. Wasow 1974 "Sloppy Identity": An Unnecessary and Insufficient Criterion for Deletion Rules
	publication			Jon Sprouse & T. Messick & J. Bobaljik 2021 Gender asymmetries in ellipsis: An experimental comparison of markedness and frequency accounts in English
	publication			Abraham Werner & J. Zwart & Eds & Jean Boase-Beier & Ken Lodge 2003 Books Received Livres reçus
	publication			C. Mair 2019 American English: No Written Standard before the Twentieth Century?
	publication			Gereon M�ller 1996 A constraint on remnant movement
	publication			J. Griffiths 2015 Reformulative appositions and clausal ellipsis
	publication			P. Mondal & Ravi Shankar Mishra 2013 Does (linguistic) Computation Need Culture to Make Cognition Viable
	publication			Peppina Po-lun Lee 2023 Proximity, polarity and scalarity: A semantic study of approximative sentence-final particles in Cantonese
	publication			G. Longobardi & I. Roberts 2010 Universals, diversity and change in the science of language: Reaction to “The Myth of Language Universals and Cognitive Science”
	publication			B. Moskal & Peter W. Smith 2015 Towards a theory without adjacency: hyper-contextual VI-rules
	publication			R. Montague 1969 On the Nature of Certain Philosophical Entities
	publication			Scott Myers 1997 Ocp Effects in Optimality Theory
	publication			Magdalena Kaufmann 2020 Imperatives
	publication			J. Villa-García & Raquel González Rodríguez 2020 On the Contrasts Between sí ‘yes’ and sí que ‘yes that’ in Spanish and the Structure of the Complementizer Phrase Domain
	publication			J. Grudzińska & Marek W. Zawadowski 2016 Continuation semantics for multi-quantifier sentences: operation-based approaches
	publication			Joachim Sabel 2002 A minimalist analysis of syntactic islands
	publication			F. Ferreira 1991 Effects of length and syntactic complexity on initiation times for prepared utterances
	publication			Sebastian Löbner 2000 Polarity in Natural Language: Predication, Quantification and Negation in Particular and Characterizing Sentences
	publication			C. Boeckx 2001 Scope Reconstruction And A-Movement
	publication			Myungkwan Park 2006 Midway Coordination: ATB and RNR vs. PG Constructions in English*
	publication			Junhyo Lee 2019 On the asymmetry between names and count nouns: syntactic arguments against predicativism
	publication			K. Yokota 2005 Predicate Composition and the Determination of Scope
	publication			J. King & M. Just 1991 Individual differences in syntactic processing: The role of working memory
	publication			Konstantinos Kogkalidis & M. Moortgat & R. Moot 2020 Neural Proof Nets
	publication			Yoshihisa Kitagawa 2005 PROSODY, SYNTAX AND PRAGMATICS OF WH-QUESTIONS IN JAPANESE
	publication			S. Steele 1995 Mary McGee Wood, Categorial grammars (Linguistic Theory Guides). London & New York: Routledge, 1993. Pp. xi + 180.
	publication			S. Barnard & A. Pothen & H. Simon 1993 A spectral algorithm for envelope reduction of sparse matrices
	publication			L. Hubert 1974 SOME APPLICATIONS OF GRAPH THEORY AND RELATED NON‐METRIC TECHNIQUES TO PROBLEMS OF APPROXIMATE SERIATION: THE CASE OF SYMMETRIC PROXIMITY MEASURES
	publication			Ezra Keshet 2013 Focus on Conditional Conjunction
	publication			Mark Hepple & G. Morrill 1989 Parsing and Derivational Equivalence
	publication			R. Lees & E. Klima 1963 Rules for English Pronominalization
	publication			Jarosław Jakielaszek 2023 Case transmission in Classical Latin control structures: Between syntax and morphology
	publication			T. Chaminade & A. Meltzoff & J. Decety 2002 Does the End Justify the Means? A PET Exploration of the Mechanisms Involved in Human Imitation
	publication			J. Sinnott & C. H. Brown 1997 Perception of the American English liquid /ra-la/ contrast by humans and monkeys.
	publication			K. Kluender & Randy L. Diehl & Peter R. Killeen 1987 Japanese quail can learn phonetic categories.
Kimura2013	publication			Hiroko Kimura 2013 MaxElide and Economy
Bouton1970	publication			Bouton, L.F. 1970 Antecedent contained pro-forms, in Papers from the Sixth RegionalMeeting of the Chicago Linguistic Society
Bruening2015	publication			Bruening, Benjamin 2015 Passive do so
Cheng2013	publication			Cheng, Hsu-Te Johnny 2013 Argument Ellipsis, Classifier Phrases, and the DP Parameter
Emonds1976	publication			Joseph Emonds 1976 A transformational approach to English syntax: root, structure-preserving and local transformations
Kitahara1997	publication			Kitahara, Hisatsugu 1997 Elementary Operations and Optimal Derivations
Miyagawa2010	publication			Miyagawa, Shigeru 2010 Why Agree? Why Move? Unifying agreement-based and discourse-configurational languages
MurasugiSaitoMiyamotoTakitaED2016	publication			 2016 日本語文法ハンドブックー言語理論と言語獲得の観点からー
Sato2010	publication			Sato, Yosuke 2010 Minimalist interfaces: Evidence from Indonesian and Javanese
Szabolcsi2010	publication			Szabolcsi, Anna 2010 Quantification
高木1949	publication			高木 貞治 1949 数の概念
ジェームズ1993	publication			ウィリアム ジェームズ 1993 心理学 下
Borsley2010	publication			R. Borsley 2010 An HPSG approach to Welsh unbounded dependencies
Hintikka1969	publication			Jaakko Hintikka 1969 Semantics for Propositional Attitudes
Goddard2006	publication			Cliff Goddard 2006 1. Ethnopragmatics: a new paradigm
FolliHarley2005	publication			Raffaella Folli and Heidi Harley 2005 Flavors of v: Consuming results in Italian and English
Futagi1998	publication			Yoko Futagi 1998 The scope interaction between dake ‘only’ and modals in Japanese. Ruling Papers I
Jacobsen2016	publication			Wesley M. Jacobsen 2016 The semantic basis of Japanese transitive-intransitive derivational patterns
Kuno1980a	publication			Susumu Kuno 1980 A further note on Tonioke's intra-subjectivization hypothesis
MacSwan2012	publication			MacSwan, Jeff 2012 Code-switching and grammatical theory
McGilvray2002	publication			James McGilvray 2002 MOPs: The Science of Concepts
Pullum2000	publication			Pullum, Geoffrey K. 2000 Hankamer was!
Kageyama2018	publication			Taro Kageyama 2018 Events and Properties in Morphology and Syntax
N.Hasegawa2018	publication			Nobuko Hasegawa 2018 Benefactives
Ogihara1999	publication			Toshiyuki Ogihara 1999 Tense and Aspect
Adger2013	publication			David Adger 2013 A Syntax of Substance: a précis
Bartels1999	publication			C. Bartels 1999 The Intonation of English Statements and Questions: A Compositional Interpretation
Chomsky2014	publication			Noam Chomsky 2014 Minimal Recursion: Exploring the Prospects
Hudson2010	publication			R. Hudson 2010 An Introduction to Word Grammar: List of figures
ItoMester2008MS	publication			Junko Ito & Armin Mester 2006 Lexical Classes in Phonology August 2006
Lipták2011	publication			A. Lipták 2011 A fragmentumok mondattana a magyarban
NeelemanvandeKoot2012	publication			A. Neeleman & H. D. Koot 2012 The Linguistic Expression of Causation
HaddicanZweig2012	publication			William Haddican & E. Zweig 2012 The syntax of manner quotative constructions in English and Dutch
Campos1992	publication			H. Campos 1992 Enunciative elements in Gascon
Dikken2017	publication			M. Dikken 2017 Overtly Marked Wh‐Paths
Crysmann2003	publication			Crysmann, Berthold 2003 An Asymmetric Theory of Peripheral Sharing in HPSG: Conjunction Reduction and Coordination of Unlikes
Klok2016	publication			Klok, Vander and Jozina 2016 Diagnosing VP-ellipsis in Javanese: Evidence for a non-movement account
Kratzer2002	publication			Kratzer, Angelika and Shimoyama, Junko 2002 Indeterminate pronouns: The view fromJapanese
Mouret2006	publication			Mouret, François 2006 A phrase structure approach to argument cluster coordination,in
	publication			Matteo Bortolini & Joel Isaac 2018 Il Mulino-Rivisteweb
	publication			Ken Hiraiwa & S. Ishihara 2002 Missing Links: Cleft, Sluicing, and "No da" Construction in Japanese *
	publication			Martin Haspelmath & Matthew S. Dryer & David Gil & Bernard Comrie 2005 The World Atlas of Language Structures
	publication			T. Bennett-Kastor 1981 Mid-America Linguistics Conference : papers
	publication			Donald M. Borchert 1967 Encyclopedia of Philosophy
	publication			A. G. Masegosa 2013 Grounding the constructional architecture of the lexical constructional model in cognition: implications for the development of a knowledge base
	publication			J. Jacobs & A. Stechow & W. Sternefeld & Theo Vennemann 1993 Syntax: An International Handbook of Contemporary Research
	publication			F. Sode 2020 A semantics for "complement fulfilling conditionals" with glad
	publication			Bernhard Schwarz & Alexandra Simonenko 2017 Trivial questions
	publication			M. Erlewine & Theodore Levin & C. Urk 2020 The typology of nominal licensing in Austronesian voice system languages
	publication			R. Brillman 2017 Tough constructions in the context of English infinitives
	publication			Doreen Georgi 2014 Opaque reflexes of successive-cyclic movement: Ordering final vs. intermediate movement steps *
	publication			A. Young 1976 The geometry of meaning
	publication			Mark Davies 2012 The Corpus of Contemporary American English (COCA)
	publication			D. Cavar 1999 Aspects of the syntax-phonology interface : cliticization and related phenomena in croatian
	publication			M. Marraffa 1994 Philosophical Papers, vol. I
	publication			K. Sugisaki 2008 Two Major Approaches to Swiping
	publication			Adam Szczegielniak 2016 Phase by phase computation of prominence in ellipsis and PP-stranding island alleviation
	publication			Elena Shimanskaya 2015 Feature reassembly of semantic and morphosyntactic pronominal features in L2 acquisition
	publication			Kersti Börjars & D. Denison & Grzegorz Krajewski & A. Scott 2013 Expression of possession in English: The significance of the right edge: Structural factors
	publication			Nuria Yáñez-Bouza & E. Moore & L. Bergen & Willem B. Hollmann 2019 Categories, Constructions, and Change in English Syntax
	publication			Benjamin Bruening & X. Dinh & Lan Kim 2014 The Structure of Nominal Phrases in Classifier Languages: Evidence from Idioms ∗
	publication			A. Dimitriadis 1994 Clitics and Object Drop in Modern Greek Alexis Dimitriadis
	publication			S. Franks 2002 A Jakobsonian Feature Based Analysis of the Slavic Numeric Quantifier Genitive
	publication			José Lema & M. Rivero 1990 Long Head Movement : ECP vs. HMC
	publication			C. Kiel 2007 Complement control in Turkish
	publication			W. Torrence 2007 On the distribution of complementizers in Wolof
	publication			J. Villa-García 2012 The Spanish Complementizer System: Consequences for the Syntax of Dislocations and Subjects, Locality of Movement, and Clausal Structure.
	publication			A. Calabrese 1982 Alcune ipotesi sulla struttura informazionale della frase in italiano e sul suo rapporto con la struttura fonologica
	publication			Susann Fischer & T. Kupisch & E. Rinke 2016 Definiteness Effects : Bilingual, Typological and Diachronic Variation
	publication			Alexander Strukelj 2018 Reading expectations : How expectations influence our reading, eye movements, opinions, and judgments
	publication			S. Wurmbrand 2000 Modal Verbs Must Be Raising Verbs
	publication			Karolina Grzech 2020 Epistemic primacy, Common Ground management, and epistemic perspective
	publication			Jeffrey Heinz 2007 Inductive learning of phonotactic patterns
	publication			Aniruddh D. Patel & J. Iversen 2006 A non-human animal can drum a steady beat on a musical instrument
	publication			J. Ohala 1997 Alternatives to the sonority hierarchy for explaining segmental sequential constraints
	publication			Stuart M. Shieber & H. Uszkoreit & F. Pereira & Jane J. Robinson & M. Tyson 1983 The Formalism and Implementation of PATR-II
	publication			Amelia Molea 2015 PROPERTIES OF IDENTITY ADJECTIVES IN ENGLISH AND ROMANIAN
	publication			R. Bernardi 2010 Scope ambiguities through the mirror
	publication			Anna Koster 2015 The acquisition of Distributivity and its relationship with the Adjective of Comparison 'Different'
	publication			F. Parkinson 1996 The representation of vowel height in phonology
	publication			A. Dimitriadis 2005 The event structure of irreducibly symmetric reciprocals
	publication			Min-Joo Kim 2005 Event-Structure and the Internally-Headed Relative Clause Construction in Korean and Japanese
	publication			H. Kamp 2013 Two theories about adjectives
	publication			Gregory Ward & A. Kehler 2005 Syntactic Form and Discourse Accessibility
	publication			R. Cann & Ruth Kempson & L. Marten & Masayuki Otsuka & David Swinburne 2001 What goes left and what goes right
	publication			G. Longobardi 2008 The Structure of DPs: Some Principles, Parameters, and Problems
	publication			Y. No 1991 A centering approach to the [CASE] [TOPIC] restriction in Korean
	publication			Uli Lutz & G. Müller & A. Stechow 2000 Wh-Scope Marking
	publication			W. Buszkowski 1988 Generative Power of Categorial Grammars
	publication			L. A. Jakobovits & M. S. Miron 1967 Readings in the psychology of language
	publication			C. Kennedy 2011 4 and Comparison
	publication			G. Diewald 2011 Pragmaticalization (defined) as grammaticalization of discourse functions
	publication			Kristina Liefke 2019 Single-Type Semantics and Depiction Reports
	publication			R. Huddleston 1984 Introduction to the Grammar of English: Verbs, nouns and adjectives: the boundaries between them
	publication			C. Brisson & P. Coopmans & I. Heim & Ruth Kempson & Tanya Rein 1997 Dependency and Distributivity of Plural Deenites
	publication			A. K. Farmer 1980 On the interaction of morphology and syntax
	publication			J. Villa-García 2012 Spanish subjects can be subjects: Acquisitional and empirical evidence
	publication			Ricardo Bermádez‐Otero 2011 Cyclicity
Hagstrom1998a	publication			Paul Hagstrom 1998 Decomposing Questions
Poortman2017	publication			Eva B. Poortman 2017 Concepts and plural predication: The effects of conceptual knowledge on the interpretation of reciprocal and conjunctive plural construc tions
Paoli2003	publication			S. Paoli 2003 Comp and the left periphery: comparative evidence from romance
Pollard2013	publication			Carl Pollard 2013 Linear Categorial Grammar
Richards1996	publication			Richards, Norvin 1996 Toward a feature-movement theory of long-distance reflexive
AbeilleGodard2002	publication			Anne Abeille & Daniele Godard 2002 The Syntactic Structure of French Auxiliaries
Abusch2002	publication			D. Abusch 2002 Lexical Alternatives as a Source of Pragmatic Presuppositions
AsherBonevac1985	publication			Nicholas Asher & Daniel Bonevac 1985 How extension al is extensional perception?
BhattTakahashi2011	publication			R. Bhatt & Shoichi Takahashi 2011 Reduced and unreduced phrasal comparatives
Geach1965	publication			P. T. Geach 1965 Assertion
Giannakidou2007	publication			A. Giannakidou 2007 The landscape of EVEN
Krifka1992b	publication			M. Krifka 1992 A Framework for Focus-Sensitive Quantification
Napoli1985	publication			D. Napoli 1985 Verb phrase deletion in English: a base-generated analysis
Sawada2014	publication			Osamu Sawada 2014 An utterance situation-based comparison
Sawada2022	publication			Osamu Sawada 2022 On the properties of expressivity and counter-expectation in the Japanese minimizer NPI kakera ‘piece’
Winter1995	publication			Yoad Winter 1995 Syncategorematic Conjunction and Structured Meanings
FoxHackl2007	publication			D. Fox & M. Hackl 2007 The universal density of measurement
Bar-AsherSiegalBoneh2020	publication			Jane Stapleton 2020 Perspectives on Causation
Kaufmann2009	publication			Stefan Kaufmann 2009 Conditionals Right and Left: Probabilities for the Whole Family
CameronLarsen-Freeman2007	publication			Lynne Cameron & Diane Larsen-Freeman  2007 Complex Systems and Applied Linguistics
Bruening2019	publication			Benjamin Bruening 2018 Passive do so
Bartos2001b	publication			Bartos, Huba 2001 Sound–form non-insertion and the direction of ellipsis
Carberry1989	publication			Carberry, Sandra 1989 A pragmatics-based approach to ellipsis resolution
Davidson2013	publication			Davidson, Kathryn 2013 And’ and ‘or’: General use coordination in ASL
Keenan1971	publication			Keenan, Edward 1971 Names, quantifiers, and a solution to the sloppy identity problem
Williams1980	publication			Edwin Williams 1980 Predication
PiantadosiGoodmanTenenbaum2013	publication			Steven T. Piantadosi and Noah Goodman and Joshua B. Tenenbaum 2013 Modeling the acquisition of quantifier semantics: A case study in function word learnability
	publication			J. Eijck 1993 The Dynamics of Description
	publication			A. Ramsay 1992 Presuppositions and WH-clauses
	publication			H. H. Clark 1975 Bridging
	publication			K. Matsuoka & J. Gajewski 2013 The polarity-sensitive intensifier mouth gestures in Japanese Sign Language
	publication			D. Krivochen 2020 NEG lowering into quantifiers
	publication			E. Prince 1976 The Syntax and Semantics of Neg-Raising, with Evidence from French
	publication			Frédéric Dichtel 2016 A quantifier used on "many" occasions
	publication			Gerald Gazdar & Geoffrey K. Pullum & Ivan A. Sag 1982 Auxiliaries and Related Phenomena in a Restrictive Theory of Grammar
	publication			E. J. O'Brien & Gary E. Raney & Jason E. Albrecht & K. Rayner 1997 Processes involved in the resolution of explicit anaphors
	publication			P. Schlenker 2007 Anti-dynamics: presupposition projection without dynamic semantics
	publication			Judith Degen & Judith Tonhauser 2021 Prior Beliefs Modulate Projection
	publication			eljko Bokovi 2007 On the Locality and Motivation of Move and Agree: An Even More Minimal Theory
	publication			Samuel Cumming & L. Winans 2021 Counterfactuals and Abduction
	publication			J. Bennett 1984 Counterfactuals and temporal direction
	publication			Maribel Romero & Chung-Hye Han 2004 On Negative Yes/No Questions
	publication			K. Krueger & P. Ungar & Debbie Guatelli‐Steinberg & J. Hublin & A. Pérez‐Pérez & E. Trinkaus & J. Willman 2017 Anterior dental microwear textures show habitat-driven variability in Neandertal behavior.
	publication			A. Benítez‐Burraco & C. Boeckx 2015 Possible functional links among brain- and skull-related genes selected in modern humans
	publication			Toshitaka N. Suzuki & D. Wheatcroft & M. Griesser 2018 Call combinations in birds and the evolution of compositional syntax
	publication			One-Soon Her & Yun-Ru Chen 2013 Unification of Numeral Classifiers and Plural Markers: Empirical Facts and Implications
	publication			C. Boeckx & K. Grohmann 2007 Remark: Putting Phases in Perspective
	publication			Kristen Syrett 2015 QR Out of a Tensed Clause: Evidence from Antecedent‐Contained Deletion
	publication			D. Allerton 1975 Deletion and proform reduction
	publication			P. Anand & D. Hardt 2016 Antecedent Selection for Sluicing: Structure and Content
	publication			Zheng Shen 2017 Fragment answers and movement
	publication			Apisara Sritulanon & apisarasri 2018 Background
	publication			Alex Drummond & Norbert Hornstein & Howard Lasnik 2010 A Puzzle About P-Stranding and a Possible Solution
	publication			D. Napoli & J. Fisher & G. Mirus 2013 Bleached Taboo-Term Predicates In American Sign Language
	publication			G. D. Haan 2001 More is Going on Upstairs than Downstairs: Embedded Root Phenomena in West Frisian
	publication			Ken Hiraiwa 2018 Something visible in Japanese
	publication			M. Guthrie 1948 Gender, Number and Person in Bantu Languages
	publication			R. Nouwen 2006 Remarks on the Polar Orientation of Almost
	publication			Maksymilian Dąbkowski & S. Anderbois 2024 Rationale and Precautioning Clauses: Insights from A’ingae
	publication			Hiroko Yamashita 1995 Verb argument information used in a prodrop language: An experimental study in Japanese
	publication			Malin Hager & Natascha Müller 2015 Ultimate attainment in bilingual first language acquisition
	publication			M. Diercks 2013 Indirect agree in Lubukusu complementizer agreement
	publication			K. Bock & Carol A. Miller 1991 Broken agreement
	publication			Silvia P. Gennari 2003 Tense Meanings and Temporal Interpretation
	publication			Ana Arregui & Kiyomi Kusumoto 1998 Tense in Temporal Adjunct Clauses
	publication			Yusuke Kubota & W. Uegaki 2009 Continuation-based semantics for Conventional Implicatures: The case of Japanese benefactives
	publication			P. Marty & E. Chemla & Benjamin Spector 2015 Phantom readings: the case of modified numerals
	publication			A. Church & R. Carnap 1975 Logische Syntax der Sprache.
	publication			Yurie Hara & E. McCready 2015 Particles of (Un)expectedness: Cantonese Wo and Lo
	publication			Ann A. Copestake & A. Lascarides & D. Flickinger 2001 An Algebra for Semantic Construction in Constraint-based Grammars
	publication			Joachim Lambek 1958 The Mathematics of Sentence Structure
	publication			Chung-chieh Shan & B. T. Cate 2002 The partition semantics of questions, syntactically
	publication			Wen Kokke 2017 Formalising Type-Logical Grammars in Agda
	publication			Thomas F. Icard 2014 Higher-Order Syllogistics
	publication			Chung-chieh Shan 2004 Delimited continuations in natural language: quantification and polarity sensitivity
	publication			Andreas Konietzko & S. Winkler & P. Culicover 2018 Heavy NP Shift does not cause Freezing
	publication			Jey Han Lau & Alexander Clark & Shalom Lappin 2015 Unsupervised Prediction of Acceptability Judgements
	publication			Eirini Mantesi & C. Hopfe & Malcolm J. Cook & Jacqueline Glass & Paul Strachan 2018 The modelling gap: Quantifying the discrepancy in the representation of thermal mass in building simulation
	publication			V. Gribanova 2015 Exponence and morphosyntactically triggered phonological processes in the Russian verbal complex1
	publication			Mark Steedman 2014 The surface-compositional semantics of English intonation
	publication			MIKE CALCAGNO 1995 A Sign-Based Extension to the Lambek Calculus for Discontinuous Constituency
	publication			David Y. Oshima 2006 Motion Deixis, Indexicality, and Presupposition
	publication			A. Garnham 1983 Why psycholinguists don't care about DTC: A reply to Berwick and Weinberg
	publication			Benoît de Cornulier 1973 But if “respectively”; meant something?
	publication			Josep M. Merenciano & G. Morrill 1996 Generation as Deduction on Labelled Proof Nets
	publication			E. Williams 1994 Remarks on lexical knowledge
	publication			Yuki Hirose 2003 Recycling Prosodic Boundaries
	publication			Tomoyuki Yoshida 2019 Complement selection and wh-scope in Japanese
	publication			Sofía Pérez Fernández & P. Gras & F. Brisard 2021 Semantic polyfunctionality and constructional networks
	publication			W. Dittus 1984 Toque macaque food calls: Semantic communication concerning food distribution in the environment
	publication			D. Dennett 1983 Intentional systems in cognitive ethology: The “Panglossian paradigm” defended
ChierchiaMcConnell-Ginet1990	publication			Gennaro Chierchia and Sally McConnell-Ginet 1990 Meaning and grammar: An intro duction to semantics
Lappin1999	publication			Lappin, Shalom 1999 An HPSG account of antecedent-contained ellipsis
Sato2021	publication			Yosuke Sato 2021 Reversed polarity sluicing in Japanese and Neg Raising
BaeuerleZimmermann1991	publication			Rainer Bäuerle and Thomas Ede Zimmermann 1991 Fragesätze
CiardelliGroenendijkRoelofsen2012	publication			Ivano Ciardelli and Jeroen Groenendijk and Floris Roelofsen 2012 Inquisitive Semantics
鹿島2003	publication			鹿島 茂 2003 勝つための論文の書き方
Torrence2018	publication			Harold Torrence 2018 Left edge agreeing elements in Wolof wh-questions,unpublished manuscript
	publication			Shigeru Miyagawa 1989 Structure and Case Marking in Japanese
	publication			Olivier Bonami & P. Samvelian 2009 Inflectional periphrasis in Persian
Saab2012	publication			Andrés Saab & Pablo Zdrojewski 2012 Anti-repair effects under ellipsis
Langacker2005	publication			Ronald W. Langacker 2005 Construction Grammars: cognitive, radical, and less       so
Chung2017	publication			WooJin Chung 2017 Obligation as counterfactual reasoning: a solution to Zvolenszky’s puzzle
Endo2010	publication			Yoshio Endo 2010 Shūjoshi no kātogurafi [Cartography of sentence final particles
FujiiGärtnerSteinbach2006	publication			Tomohiro Fujii and Gärtner and Hans-Martin and Markus Steinbach 2006 Some theoretical issues in Japanese control
Levin1982	publication			Levin, Lori 1982 Sluicing: A lexical interpretation procedure
Parsons1990	publication			Parsons, Terence 1990 Events in the semantics of English: A study in subatomic semantics
Rizzi2001b	publication			Luigi Rizzi 2001 On the position of “Int(errogative)“ in the left periphery of the clause
Ueyama2003	publication			Ueyama, Aymui 2003 Two types of scrambling constructions in Japanese
成田福井2014	publication			成田広樹・福井直樹 2014 統辞構造の内心性と対称性について
Heim1994	publication			Irene Heim 1994 Interrogative Semantics and Karttunen’s Semantics for know
KatoS2014	publication			加藤重広 2014 複文の単文化と（脱）文法化
